Feature,Coef (β),Std Error,z-stat,p-value,CI lower,CI upper,Sig
Intercept,-1.4382,0.0186,-77.5027,0.0,-1.4745,-1.4018,***
Gender (M=1),0.1216,0.0181,6.714,0.0,0.0861,0.157,***
Age band,0.0095,0.0183,0.5198,0.6032,-0.0264,0.0454,n.s.
Prior education,-0.0817,0.0185,-4.4199,0.0,-0.1179,-0.0455,***
IMD band (deprivation),-0.0322,0.0182,-1.7708,0.0766,-0.0678,0.0034,n.s.
Disability status,0.1235,0.0163,7.5774,0.0,0.0915,0.1554,***
Prev. attempts,0.0065,0.017,0.3822,0.7023,-0.0268,0.0398,n.s.
Studied credits,0.3259,0.0168,19.4019,0.0,0.293,0.3588,***
Mean assess. score,-0.4275,0.017,-25.2214,0.0,-0.4608,-0.3943,***
